"Reference","Qty","Value","Footprint"
"C1,C2,C7,C8,C9,C10","6","0.1uF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm"
"C3,C4","2","100uF","Capacitor_THT:CP_Radial_D7.5mm_P2.50mm"
"C5","1","1uF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm"
"C6","1","150pF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm"
"C11,C12","2","10uF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm"
"D1,D2,D3,D4","4","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal"
"D5,D6,D7,D8","4","1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal"
"J1","1","±5V","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal"
"J2","1","UART","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical"
"J3","1","Encoder","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical"
"J4","1","CP2102","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical"
"J5","1","OUT","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal"
"J6","1","IN","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal"
"J7","1","DDS","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical"
"J8,J9","2","Conn_01x14","Connector_PinSocket_2.54mm:PinSocket_1x14_P2.54mm_Vertical"
"Q1,Q2","2","2N7000","Package_TO_SOT_THT:TO-92_Inline_Wide"
"R1","1","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"
"R2,R3,R5,R7,R8,R15,R16","7","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"
"R4","1","2,2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"
"R6","1","1,5k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"
"R9,R10,R11,R12","4","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"
"R13,R14","2","100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"
"SW1","1","BTN_1","Button_Switch_THT:SW_PUSH_6mm_H5mm"
"SW2","1","BTN_2","Button_Switch_THT:SW_PUSH_6mm_H5mm"
"TP1,TP7","2","Vin","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical"
"TP2","1","Vout","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical"
"TP3","1","Vip","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical"
"TP4","1","Vop","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical"
"TP5","1","Rst_Vi","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical"
"TP6","1","Rst_Vo","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical"
"TP8,TP9,TP10","3","GND","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical"
"U1,U2,U3","3","OPA2134","Package_DIP:DIP-8_W7.62mm_LongPads"
